id,title,platform,username,post_text,category,correct_answer,difficulty,red_flags,explanation,skill_focus,source_note
1,"Miracle Cold Cure","Chatter","@natural_now","Doctors hate this: one spoon of silver tonic cures every cold overnight. Share before pharmacies delete this!","Health misinformation","Report",3,"Miracle cure language; conspiracy framing; no source; medical claim","Medical claims need reliable clinical evidence and professional guidance. The post uses fear and conspiracy language instead of verifiable evidence.","Source Verification","Educational simulation based on common health misinformation patterns."
2,"Campus Password Reset","InstaMail","@it_helpdesk-campus","Your student email will close tonight. Confirm your password at bit.ly/verify-scholar to keep access.","Phishing/scam","Report",4,"Urgent deadline; password request; shortened link; unofficial account","Legitimate IT teams do not ask for passwords through random shortened links. The safest action is to report phishing and verify through official campus channels.","Scam Detection","Educational simulation based on common phishing warning signs."
3,"Flood Photo Claim","PhotoShare","@breaking_weather","This image proves the mayor ignored today's flood damage downtown.","AI-generated image claim","Verify First",3,"No source; image provenance unclear; emotionally charged accusation","Images can be old, edited, AI-generated, or shown out of context. Verify with trusted local reporting and image provenance before judging.","AI Content Awareness","Educational simulation about image verification and provenance."
4,"Crime Chart Without Baseline","Chatter","@city_alerts","Crime is up 400%! This tiny chart proves nobody is safe anymore.","Misleading statistics","Doubt",4,"No baseline; unclear timeframe; fear wording; unlabeled chart","A percentage can sound dramatic when the baseline is small. Statistical claims need context, definitions, and source data.","Statistical Reasoning","Educational simulation based on common misleading graph tactics."
5,"Guaranteed Scholarship Fee","ScholarGram","@grant_winner_fast","Congratulations! Pay a $39 processing fee today and we guarantee a $10,000 scholarship. No essay, no transcript.","Fake scholarship scam","Report",5,"Upfront fee; guaranteed award; pressure; no eligibility details","Scholarship scams often promise guaranteed money in exchange for fees or personal data. Real scholarships publish eligibility rules and official contact information.","Scam Detection","Educational simulation based on scholarship scam prevention guidance."
6,"Share If You Care","Chatter","@truth_guardian","If you don't repost this warning in 10 minutes, you clearly don't care about children.","Emotional manipulation","Doubt",2,"Guilt pressure; no evidence; forced sharing","The post attempts to manipulate identity and emotion rather than provide evidence. Responsible users pause before amplifying pressure-based posts.","Emotional Manipulation Detection","Educational simulation based on emotional manipulation patterns."
7,"Celebrity Quote Screenshot","PhotoShare","@daily_celebs","Famous actor says students should stop reading books. Screenshot proves it.","Fake celebrity quote","Verify First",2,"Screenshot only; no interview link; sensational quote","Screenshots are easy to fabricate. Verify quotes through original interviews, official accounts, or reputable entertainment/news outlets.","Source Verification","Educational simulation based on fake quote patterns."
8,"Public Health Department Update","CivicFeed","@county_health_official","Flu clinic hours are extended this weekend. Details and appointment links are posted on countyhealth.gov/flu.","Trustworthy information","Trust",2,"Official account; specific details; official domain","This post provides a specific public-service update from an official source and points to an official domain for details.","Source Verification","Educational simulation of a trustworthy official update."
9,"Deepfake Endorsement","VideoLoop","@crypto_wins_today","A famous scientist just endorsed our coin in this shocking video. Buy before midnight.","AI-generated image claim","Report",5,"Financial pressure; celebrity/scientist endorsement; shocking video; deadline","AI-generated or manipulated videos can impersonate trusted people. Combined with investment pressure, this is high-risk and should be reported.","AI Content Awareness","Educational simulation about deepfakes and investment scams."
10,"Study Headline Overreach","Chatter","@health_hacks","New study proves eating one berry prevents all cancer. Big hospitals are silent.","Health misinformation","Doubt",4,"Overstates study; absolute wording; conspiracy claim","A single study rarely proves an absolute medical outcome. Look for study design, peer review, expert consensus, and cautious wording.","Statistical Reasoning","Educational simulation based on health headline exaggeration."
11,"School Closure Rumor","CivicFeed","@student_updates_247","My cousin heard all schools are closed tomorrow because of a threat. Everyone stay home.","Emotional manipulation","Verify First",3,"Secondhand source; safety claim; no official notice","Safety announcements should be verified through official school or local authority channels before being shared.","Source Verification","Educational simulation about rumor verification."
12,"Invoice Attachment Message","InstaMail","@vendor-payments","Invoice overdue. Open the attached file and enable macros to avoid legal action.","Phishing/scam","Report",4,"Unexpected attachment; macro request; legal threat","Unexpected attachments and macro requests are classic malware risks. Verify invoices through known contacts and report suspicious messages.","Scam Detection","Educational simulation based on malware phishing patterns."
13,"Recycled Disaster Image","PhotoShare","@global_crisis_live","This heartbreaking photo is from the earthquake happening right now. Donate through my wallet link.","AI-generated image claim","Verify First",4,"Donation wallet; no charity identity; image context unknown","Disaster images are often recycled or miscaptioned. Verify image date/location and donate through established organizations.","AI Content Awareness","Educational simulation about disaster misinformation."
14,"Survey Sample Trick","Chatter","@policy_poll_daily","92% of people want this law passed, according to our poll of 25 followers.","Misleading statistics","Doubt",3,"Tiny sample; self-selected audience; broad conclusion","A small self-selected poll cannot represent the public. Sample size, sampling method, and population matter.","Statistical Reasoning","Educational simulation about polling limitations."
15,"Library Media Literacy Workshop","CivicFeed","@city_library","Join our free media literacy workshop Saturday at 2 p.m. Registration is available on the official library website.","Trustworthy information","Trust",1,"Official organization; low-risk event; verifiable website","The post is specific, low pressure, and points to an official website where users can confirm details.","Source Verification","Educational simulation of a credible civic announcement."
16,"Fake Verification Badge","ScholarGram","@elite_grants_verified","We are verified by the government. Send your Social Security number by DM to reserve your scholarship.","Fake scholarship scam","Report",5,"Requests SSN by DM; vague government claim; scholarship pressure","Sensitive identity data should never be sent by direct message. Verify scholarship programs through official institutional sites.","Scam Detection","Educational simulation based on identity theft risks."
